DT_CTBIL;SG_EMPRE;CD_CANAL_VENDA;CD_PRODUTO;CD_LOCAL_DEBITO;CD_LOCAL_CREDITO;VL_PREMT;QT_PREMT;CD_CNAPE
30/11/2024;RPS;2;310;9117;9623;807,1;0;107113
30/11/2024;RPS;2;315;9117;9623;6899,51;0;107113
30/11/2024;RPS;2;530;9117;9623;146,48;0;107113
30/11/2024;RPS;2;535;9117;9623;1604,82;0;107113
30/11/2024;RPS;2;812;9117;9623;12,45;0;107113
30/11/2024;RPS;2;815;9117;9623;94,31;0;107113
30/11/2024;RPS;2;941;9117;9623;109,05;0;107113
30/11/2024;RPS;2;116;9124;9623;1320,98;0;107113
30/11/2024;RPS;2;208;9124;9623;705,12;0;107113
30/11/2024;RPS;2;310;9124;9623;5782,76;0;107113
30/11/2024;RPS;2;315;9124;9623;2572,44;0;107113
30/11/2024;RPS;2;321;9124;9623;225,34;0;107113
30/11/2024;RPS;2;323;9124;9623;3,69;0;107113
30/11/2024;RPS;2;325;9124;9623;128,81;0;107113
30/11/2024;RPS;2;327;9124;9623;622,64;0;107113
30/11/2024;RPS;2;530;9124;9623;2166,31;0;107113
30/11/2024;RPS;2;535;9124;9623;837,76;0;107113
30/11/2024;RPS;2;539;9124;9623;119,65;0;107113
30/11/2024;RPS;2;789;9124;9623;0,5;0;107113
30/11/2024;RPS;2;812;9124;9623;92,48;0;107113
30/11/2024;RPS;2;815;9124;9623;38,57;0;107113
30/11/2024;RPS;2;828;9124;9623;28,32;0;107113
30/11/2024;RPS;2;940;9124;9623;677,31;0;107113
30/11/2024;RPS;2;941;9124;9623;602,37;0;107113
30/11/2024;RPS;2;116;9126;9623;133,32;0;107113
30/11/2024;RPS;2;310;9126;9623;16672,09;0;107113
30/11/2024;RPS;2;315;9126;9623;3783,24;0;107113
30/11/2024;RPS;2;327;9126;9623;899,79;0;107113
30/11/2024;RPS;2;530;9126;9623;4880,15;0;107113
30/11/2024;RPS;2;535;9126;9623;1380,09;0;107113
